Program,Total Admits,Auto-Admit,First Choice,Auto-Entry,1Number Selected,1Number Denied,Second Choice,2Selected,2Denied,Third Choice,3Selected,3Denied,"Fourth, Fifth and not original choice",4Selected,4Denied
Ocean (GV),2,0,0,0,0,0,0,0,0,0,0,0,2,2,0
Interdisciplinary (MA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multidisciplinary (GV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interdisciplinary (MA),1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Multidisciplinary (MA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architectural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interdisciplinary (CS),15,8,6,8,6,0,1,1,8,0,0,1,0,0,0
Aerospace,189,152,37,152,37,67,0,0,29,0,0,18,0,0,5
Biological and Agricultural,27,4,12,4,12,0,3,3,0,8,8,0,0,0,2
Biomedical,141,92,49,92,49,54,0,0,5,0,0,5,0,0,3
Chemical,229,146,79,146,79,11,4,4,20,0,0,7,0,0,3
Civil,175,61,85,61,85,30,15,15,6,11,11,10,3,3,7
Environmental,15,2,6,2,6,0,4,4,2,1,1,0,2,2,1
Computer Science (CS),275,235,40,235,40,125,0,0,31,0,0,8,0,0,4
Computer,187,101,47,101,47,60,21,21,134,18,18,87,0,0,10
Electrical,229,93,71,93,71,8,18,18,10,16,16,12,31,31,8
Electronic Systems,42,1,8,1,8,0,6,6,0,5,5,0,22,22,0
Industrial Distribution,94,14,62,14,62,0,10,10,0,4,4,3,4,4,0
Manufacturing and Mechanical,42,2,12,2,12,0,8,8,0,6,6,0,14,14,0
Multidisciplinary (CS),39,2,21,2,21,1,1,1,0,5,5,1,10,10,0
Industrial and Systems,118,38,35,38,35,2,14,14,2,9,9,2,22,22,0
Materials Science,51,18,16,18,16,0,10,10,6,7,7,4,0,0,1
Mechanical,423,261,143,261,143,95,16,16,44,3,3,23,0,0,7
Nuclear,49,7,10,7,10,0,11,11,0,10,10,0,11,11,0
Ocean (CS),29,6,11,6,11,0,6,6,0,4,4,1,2,2,0
Petroleum,76,24,36,24,36,0,7,7,1,7,7,1,2,2,1
