2021,Total Admits,Auto-Admit,First Choice,,,,Second Choice,,,Third Choice,,,"Fourth, Fifth and not original choice",,
,,,,Auto-Entry,Number Selected,Number Denied,,Selected,Denied,,Selected,Denied,,Selected,Denied
Ocean (GV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interdisciplinary (GV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multidisciplinary (GV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interdisciplinary (MA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multidisciplinary (MA),2,0,1,0,1,0,1,1,0,0,0,0,0,0,0
Architectural,43,13,22,13,22,5,3,3,5,5,5,3,0,0,0
Interdisciplinary (CS),10,4,2,4,2,1,3,3,5,1,1,5,0,0,0
Aerospace,207,158,43,158,43,75,6,6,28,0,0,15,0,0,0
Biological and Agricultural,28,7,8,7,8,0,5,5,0,2,2,0,6,6,0
Biomedical,141,106,35,106,35,36,0,0,5,0,0,4,0,0,3
Chemical,210,123,60,123,60,8,20,20,2,5,5,4,2,2,1
Civil,173,65,78,65,78,13,22,22,6,8,8,3,0,0,2
Environmental,27,11,12,11,12,2,3,3,4,1,1,1,0,0,1
Computer Science (CS),351,342,9,342,9,128,0,0,23,0,0,5,0,0,1
Computer,175,120,32,120,32,42,23,23,90,0,0,9,0,0,2
Electrical,255,102,61,102,61,3,45,45,12,46,46,15,1,1,2
Electronic Systems,41,1,5,1,5,1,10,10,2,14,14,2,11,11,0
Industrial Distribution,84,17,48,17,48,0,8,8,0,8,8,0,3,3,0
Manufacturing and Mechanical,33,2,11,2,11,0,10,10,0,4,4,1,6,6,0
Multidisciplinary (CS),40,7,10,7,10,0,2,2,0,7,7,0,14,14,0
Industrial and Systems,144,51,44,51,44,2,18,18,0,20,20,1,11,11,2
Materials Science,40,11,11,11,11,0,11,11,1,6,6,3,1,1,2
Mechanical,377,301,71,301,71,131,3,3,48,2,2,16,0,0,8
Nuclear,54,11,12,11,12,0,13,13,0,11,11,0,7,7,0
Ocean (CS),23,2,10,2,10,0,5,5,0,4,4,0,2,2,0
Petroleum,56,21,26,21,26,2,7,7,0,0,0,0,2,2,1
